Index,GPS time,EKF Temp,EKF Tick,EKF Raw Z Gyro,EKF Raw X Gyro,EKF Raw Y Gyro,EKF Raw X Accel,EKF Raw Y Accel,EKF Raw Z Accel,EKF Tick SF,EKF Gyro SF,EKF Gyro Bias,EKF Tick SF Calib,EKF Gyro SF Calib,EKF Gyro B Calib
0,,,,,,,,,,,,,,,
1,2018:522627.000,,,,,,,,,,,,,,
2,2018:522627.000,32.23,,0.35,-0.63,0.18,-9.37,-2.75,3.08,,,,,,
3,,32.24,,0.51,-0.41,-0.30,-9.40,-2.75,3.03,,,,,,
4,,32.22,,0.40,-0.20,-0.54,-9.37,-2.72,3.06,,,,,,
5,2018:522628.000,32.26,,0.35,-0.31,-0.17,-9.37,-2.73,3.04,,,,,,
6,2018:522628.000,,,,,,,,,,,,,,
7,2018:522628.000,32.24,,0.36,-0.44,-0.02,-9.38,-2.72,3.07,,,,,,
8,,32.25,,0.64,-0.48,-0.69,-9.36,-2.76,3.03,,,,,,
9,,32.24,,0.46,-0.51,-0.23,-9.39,-2.75,3.05,,,,,,
10,2018:522629.000,32.24,,0.41,-0.40,-0.20,-9.37,-2.74,3.05,,,,,,
11,2018:522629.000,,,,,,,,,,,,,,
12,,32.25,,0.27,-0.31,0.28,-9.39,-2.73,3.05,,,,,,
13,,32.23,,0.42,-0.45,-0.23,-9.36,-2.73,3.07,,,,,,
14,,32.24,,0.36,-0.41,-0.17,-9.36,-2.76,3.02,,,,,,
15,,32.22,,0.35,-0.22,-0.40,-9.37,-2.75,3.04,,,,,,
16,2018:522630.000,,,,,,,,,,,,,,
17,2018:522630.000,,,,,,,,,,,,,,
18,,32.23,,0.46,-0.17,-0.62,-9.39,-2.80,3.06,,,,,,
19,,32.24,,0.38,-0.38,-0.39,-9.32,-2.81,3.03,,,,,,
20,,32.24,,0.51,-0.58,-0.82,-9.29,-2.86,3.08,,,,,,
21,,32.24,,0.23,-0.60,0.41,-9.41,-2.94,3.15,,,,,,
22,,32.25,,0.48,-0.43,-0.42,-9.32,-2.91,3.05,,,,,,
23,2018:522631.000,32.24,,0.17,-0.62,0.46,-9.35,-2.90,3.10,,,,,,
24,2018:522631.000,,,,,,,,,,,,,,
25,2018:522631.000,32.23,,0.44,-0.47,-0.27,-9.26,-2.88,3.10,,,,,,
26,,32.24,,0.46,-0.52,-0.48,-9.33,-2.88,3.12,,,,,,
27,,32.24,,0.37,-0.51,-0.17,-9.30,-2.88,3.08,,,,,,
28,,32.24,,0.73,-0.86,-0.84,-9.34,-2.93,3.03,,,,,,
