GPS time,iTOW,EKF Raw Z Gyro,EKF Raw X Gyro,EKF Raw Y Gyro,EKF Raw X Accel,EKF Raw Y Accel,EKF Raw Z Accel
2022:120847.300,120847.3,0.39,-0.41,-0.36,0.24,-0.48,10.34
2022:120847.700,120847.7,0.37,-0.32,-0.31,0.25,-0.47,10.35
,120847.9,0.34,-0.32,-0.3,0.25,-0.48,10.35
2022:120848.100,120848.1,0.36,-0.31,-0.19,0.26,-0.49,10.36
,120848.3,,,,,,
2022:120848.500,120848.5,0.37,-0.29,-0.23,0.24,-0.48,10.36
,120848.7,0.35,-0.33,-0.29,0.24,-0.48,10.36
2022:120848.900,120848.9,0.27,-0.28,-0.22,0.23,-0.48,10.35
2022:120849.100,120849.1,,,,,,
2022:120849.300,120849.3,0.33,-0.3,-0.23,0.25,-0.49,10.35
2022:120849.500,120849.5,0.34,-0.21,-0.25,0.24,-0.47,10.37
,120849.7,0.37,-0.37,-0.32,0.23,-0.48,10.35
2022:120849.900,120849.9,0.31,-0.27,-0.23,0.24,-0.47,10.33
2022:120850.300,120850.3,0.39,-0.34,-0.34,0.26,-0.47,10.35
2022:120850.500,120850.5,0.43,-0.4,-0.35,0.25,-0.49,10.36
2022:120850.700,120850.7,0.33,-0.32,-0.29,0.24,-0.47,10.38
2022:120850.900,120850.9,0.37,-0.41,-0.31,0.24,-0.47,10.35
2022:120851.100,120851.1,0.32,-0.29,-0.17,0.24,-0.48,10.35
2022:120851.400,120851.4,0.33,-0.41,-0.29,0.24,-0.48,10.34
2022:120851.600,120851.6,0.37,-0.34,-0.36,0.24,-0.48,10.36
2022:120852.000,120852,0.38,-0.29,-0.29,0.25,-0.49,10.34
,120852.3,0.42,-0.33,-0.36,0.24,-0.48,10.36
2022:120852.500,120852.5,0.33,-0.37,-0.31,0.24,-0.48,10.37
2022:120852.700,120852.7,,,,,,
,120852.9,0.31,-0.28,-0.18,0.24,-0.47,10.34
2022:120853.100,120853.1,0.37,-0.34,-0.29,0.26,-0.51,10.35
2022:120853.300,120853.3,,,,,,
2022:120853.500,120853.5,0.34,-0.5,-0.34,0.24,-0.45,10.38
2022:120853.700,120853.7,,,,,,
,120853.9,0.36,-0.37,-0.32,0.23,-0.45,10.38
,120854.1,0.35,-0.47,-0.32,0.24,-0.5,10.35
2022:120854.300,120854.3,0.29,-0.14,-0.15,0.24,-0.48,10.33
,120854.5,0.46,-0.46,-0.36,0.25,-0.47,10.38
2022:120854.700,120854.7,,,,,,
,120854.9,0.33,-0.43,-0.3,0.25,-0.46,10.36
2022:120855.100,120855.1,0.4,-0.51,-0.43,0.25,-0.52,10.36
2022:120855.300,120855.3,0.35,-0.12,-0.28,0.23,-0.5,10.32
2022:120855.500,120855.5,0.33,-0.26,-0.23,0.27,-0.42,10.37
2022:120855.700,120855.7,0.33,-0.4,-0.26,0.24,-0.51,10.34
2022:120855.900,120855.9,0.33,-0.29,-0.33,0.27,-0.47,10.36
2022:120856.100,120856.1,0.32,-0.14,-0.08,0.22,-0.5,10.31
2022:120856.300,120856.3,,,,,,
,120856.5,0.28,-0.38,-0.19,0.25,-0.52,10.32
,120856.7,0.38,-0.22,-0.39,0.22,-0.45,10.37
2022:120856.900,120856.9,0.35,-0.36,-0.2,0.27,-0.5,10.38
2022:120857.100,120857.1,0.3,-0.21,-0.27,0.21,-0.48,10.32
2022:120857.300,120857.3,0.33,-0.33,-0.22,0.27,-0.46,10.35
2022:120857.500,120857.5,0.37,-0.39,-0.32,0.23,-0.48,10.34
,120857.7,0.24,-0.3,-0.17,0.26,-0.47,10.35
2022:120857.900,120857.9,0.42,-0.37,-0.37,0.24,-0.46,10.32
2022:120858.100,120858.1,0.25,-0.22,-0.14,0.23,-0.46,10.34
2022:120858.300,120858.3,0.31,-0.37,-0.21,0.24,-0.47,10.35
,120858.5,0.33,-0.24,-0.23,0.25,-0.49,10.34
,120858.7,0.3,-0.27,-0.28,0.22,-0.47,10.35
2022:120858.900,120858.9,0.23,-0.32,-0.19,0.22,-0.48,10.33
2022:120859.100,120859.1,0.35,-0.38,-0.31,0.26,-0.47,10.34
2022:120859.300,120859.3,,,,,,
,120859.5,0.32,-0.29,-0.23,0.23,-0.48,10.34
,120859.7,0.33,-0.32,-0.25,0.24,-0.48,10.34
2022:120859.900,120859.9,0.17,-0.42,-0.24,0.23,-0.45,10.27
2022:120860.100,120860.1,0.47,-0.75,-0.59,0.24,-0.52,10.44
2022:120860.300,120860.3,0.4,-0.28,-0.42,0.26,-0.53,10.32
2022:120860.500,120860.5,0.26,-0.13,-0.12,0.22,-0.42,10.31
2022:120860.700,120860.7,0.42,-0.43,-0.23,0.28,-0.5,10.38
,120860.9,0.31,-0.13,-0.11,0.22,-0.46,10.37
2022:120861.100,120861.1,0.39,-0.32,-0.32,0.24,-0.43,10.36
,120861.3,0.36,-0.22,-0.3,0.23,-0.51,10.32
2022:120861.500,120861.5,0.34,-0.3,-0.28,0.25,-0.47,10.38
2022:120861.700,120861.7,0.38,-0.37,-0.3,0.23,-0.49,10.34
2022:120861.900,120861.9,0.35,-0.38,-0.36,0.25,-0.5,10.35
2022:120862.100,120862.1,0.35,-0.28,-0.23,0.23,-0.47,10.36
2022:120862.300,120862.3,0.38,-0.34,-0.29,0.25,-0.47,10.34
,120862.5,0.39,-0.32,-0.27,0.25,-0.49,10.35
2022:120862.700,120862.7,0.32,-0.33,-0.27,0.23,-0.49,10.38
2022:120862.900,120862.9,0.38,-0.39,-0.35,0.24,-0.49,10.38
2022:120863.100,120863.1,,,,,,
2022:120863.300,120863.3,0.37,-0.23,-0.25,0.26,-0.49,10.34
,120863.5,0.34,-0.35,-0.23,0.25,-0.49,10.34
2022:120863.700,120863.7,0.28,-0.26,-0.19,0.22,-0.48,10.34
2022:120863.900,120863.9,0.37,-0.28,-0.28,0.28,-0.48,10.36
2022:120864.100,120864.1,0.38,-0.21,-0.25,0.23,-0.5,10.34
,120864.3,0.42,-0.38,-0.39,0.26,-0.48,10.37
2022:120864.500,120864.5,0.34,-0.32,-0.23,0.22,-0.49,10.35
2022:120864.700,120864.7,0.39,-0.39,-0.26,0.27,-0.5,10.34
2022:120864.900,120864.9,0.36,-0.28,-0.33,0.23,-0.49,10.35
2022:120865.100,120865.1,0.38,-0.32,-0.22,0.26,-0.48,10.37
2022:120865.300,120865.3,0.32,-0.33,-0.29,0.24,-0.49,10.36
